sentence,difficulty
"Son mari, lui, n'aime pas beaucoup la mer",A1
Aimerais-tu un verre?,A1
Je suis fatigué.,A1
"C'est peut-être une petite soeur, un gentil chat comme moi .",A1
"Je m'appelle Jessica. Je suis une fille, je suis française et j'ai treize ans.",A1
je réunis tous ceux qui j'aime bien pour fêter l'arrivée de l'été.,A1
"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?",A1
Bonjour à tous et bienvenue à la formation.,A1
"Elle a trois enfants, deux garçons et une fille.",A1
"Et ce qui se passe si, tout d'un coup, nous pensons notre assiette.",A1
"Ici, il fait toujours chaud.",A1
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1
Ma maison est grande,A1
Papa est en voyage jusqu'à demain.,A1
"Peux-tu me donner l'heure du déjeuner, la date et l'adresse de ton appartement",A1
"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.",A1
"Parfait, alors un plat du jour, s'il vous plaît.",A1
Mais les chiens et les chats ne s'aiment pas beaucoup .,A1
"Ce n'est pas étonnant, car c'est une saison mystérieuse",A1
"Elle donne sur le jardin, vous y serez très bien.",A1
"Je m'appelle Bob, je suis médecin et j'ai 35 ans.",A1
À la semaine prochaine.,A1
Je propose que tout le monde apporte quelque chose à manger.,A1
"Moi aussi, je veux aller me promener !",A1
Il travaille en ville.,A1
À bientôt.,A1
Merci.,A1
Parlez-moi de votre famille.,A1
J'ai deux frères,A1
Tu es américain et elle est anglaise.,A1
"Excusez-moi, je me suis perdu.",A1
Le restaurant est sur votre gauche,A1
Nous allons à Paris pour prendre un train.,A1
Alors comment ça marche ?,A1
Je vais revenir avec les enfants la semaine prochaine.,A1
J'ouvre la porte.,A1
"Par contre, les sports d'équipe comme le foot ou le basket, je n'aime pas du tout !",A1
C'est un spectacle magique,A1
À quelle heure on part,A1
Tu es très sympa.,A1
"Mon ordinateur ne fonctionne plus, je dois le changer.",A1
Très bonne journée à toi !,A1
"Je n'aime pas la pluie, surtout pendant les vacances.",A1
Comment t'appelles-tu ?,A1
Comment tu t'appelles ?,A1
Tu penses que la bibliothèque est ouverte ?,A1
A bientôt !,A1
J'ouvre la porte et le chien court à l'extérieur.,A1
"Quelque chose qui nous a rapproché c'est que toutes les deux on était assez rebelles et assez euh, on aimait bien faire des choses qui sortaient un peu de l'ordinaire.",A1
Paul a le numéro de téléphone de Marie.,A1
Nous avons un cours de Français.,A1
"Ca va, merci.",A1
Moi je m'appelle Lien.,A1
J'écris un peu.,A1
Il fait toujours chaud,A1
Le chat et la souris.,A1
J'ai des cours de méchanique et d'informatique.,A1
Son appartement est loin de l'Université.,A1
J'aime le sport.,A1
Je regarde les oiseaux à travers la fenêtre de ma chambre.,A1
J'aime les pommes de terre.,A1
Mais que fait Jules ?,A1
"Ici, tout est immense, il y a du monde partout, les gens sont pressés, . c'est impressionnant !",A1
"Enfin, l'été arrive à la fin du mois de juin.",A1
Merci pour cette histoire et bonne année !,A1
"Je vois trois pommes de terre, mais elles ne sont pas bonnes.",A1
L'été c'est le 21 juin et les beaux jours sont là !,A1
Je rentre à la maison à 19 heures,A1
Le chat s'est alors accroché au coussin et Simon ne l'a pas vu.,A1
Merci beaucoup pour cette histoire.,A1
"Votre nom, comment ça s'écrit ?",A1
Je conduis la voiture.,A1
"Je suis dans le bus, j'arrive dans 5 minutes.",A1
Il fait beau aujourd'hui !,A1
Pourquoi on ne peut pas jouer avec Jules et Alice ?,A1
"Salut! Je suis espagnole, et toi?",A1
Vraiment?,A1
"Et toi, tu es toujours cuisinier ?",A1
J'ai hâte !,A1
"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",A1
Ils y vont à pied.,A1
Le test de niveau en français est sur le site Internet de l'école.,A1
J'ai éteint le feu.,A1
Je vais au travail en transports tous les jours.,A1
C'est un métier très complet.,A1
J'ai perdu ma montre.,A1
Vous allez au restaurant.,A1
Viens ici!,A1
"Le soir, elle a dîné dans un restaurant avec son frère",A1
"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France",A1
Quelle est la date du mariage ?,A1
Je n'ai aucune nouvelle depuis son départ,A1
J'ai déjà mangé.,A1
Je m'inquiète beaucoup pour notre relation.,A1
Vous vous levez à quelle heure ?,A1
Merci pour l'effort.,A1
Je regarde un film en allemand.,A1
Mon ami ne répond pas au téléphone.,A1
Le chaufffeur de bus est en retard.,A1
L'une s'appelle Jennifer et elle a 21 ans et l'autre s'appelle Ashley et elle a 22 ans,A1
Je vais à l'école pendant la journée. Mon père s'appelle Alain.,A1
Je fais ma toilette et je prends mon petit déjeuner,A1
J'ai deux voisins.,A1
Le paysage devient tout blanc à cause de la neige et de la glace.,A1
"Je vais à l'école à Nice, mais j'habite à Cagnes-Sur-Mer",A1
Mon papa est italien et il est fleuriste,A1
J'aime beaucoup lire et je nage très bien,A1
Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.,A1
Peut-être que je devrais avancer un peu mon réveil pour éviter ça,A1
"Ce sera inoubliable, j'en suis sûr!",A1
Ça te dérange si je fume?,A1
Tu es ridicule.,A1
Il a les yeux marron.,A1
"J'étais assez calme, j'avais beaucoup de copains et je passais des heures avec eux tous les jours",A1
Nous sommes en retard.,A1
"Sur la table, il y a un chat noir, un petit livre, un vase, une assiette et un sac",A1
Je suis arrivée il y a un mois et j'habite en colocation avec deux copines,A1
"Je cherche cette adresse, vous pouvez m'aider ?",A1
Ils sont pas chers,A1
Je vous vends des livres.,A1
Mon fils est né ce matin.,A1
"Le chat a voulu s'asseoir dans le fauteuil, mais Simon n'a pas voulu.",A1
"Une carafe d'eau, s'il vous plaît.",A1
Il fait beau dehors.,A1
On peut sortir tous les jours dans les bars ou en boîte,A1
Je prends mon petit-déjeuner dans la cuisine.,A1
"Et là en revanche, ça pourrait me servir.",A1
Ils étaient là,A1
Je m'appelle Marie.,A1
Mon mari est professeur d'anglais dans une école qui se trouve à 20 kilomètres de la maison.,A1
J'ai soif.,A1
"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre",A1
Je souhaiterais vous rencontrer à ce sujet.,A1
"Elle est très sportive, elle adore la nature et elle a horreur d'aller dans les discothèques.",A1
Le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.,A1
Il y a un quartier très agréable pour aller se balader,A1
Le train de ma soeur arrive à 20h05,A1
"Oui, je suis à Paris depuis vingt jours à peine.",A1
"Je ne mange pas viande, je suis végétarienne.",A1
Jean va tous les jours à la plage,A1
Ils ont passé une très bonne soirée,A1
Il regarde la télévision.,A1
"Contre le mur, il y a une grande affiche",A1
Il a cinq heures de français par semaine.,A1
Je mets mon portable dans la poche de ma veste.,A1
Je partirai demain matin à la première heure pour ne pas rater mon avion.,A1
Peux-tu parler plus lentement?,A1
Elle est venue voir en bas si ça lui convenait.,A1
"Bon, la première chose bien sûr, il faut être comédien.",A1
Je suis une passionnée de montagne.,A1
"Le bébé pleure depuis des heures, il a faim.",A1
Julie est à Lausanne pour un mois.,A1
J'aime la musique classique et le rock.,A1
Je commande du poisson avec de la purée.,A1
Un technicien fait le nécessaire et vous rappelle dans une heure environ.,A1
"Pour se déplacer, il y a des bus, des vélos et un métro.",A1
"Nous avons déménagé en France, parce qu'elle a toujours aimé la culture de ce pays",A1
"Excusez-moi, où est la gare ?",A1
Elle cherche un travail de réceptionniste dans un hôtel,A1
Il avait faim.,A1
Je suis le professeur Duquesnes.,A1
"J'habite à New York, et toi ?",A1
Qui est absent ?,A1
J'en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,A1
J'ai rendez vous chez le coiffeur.,A1
Ils ont beaucoup d'idées,A1
J'ai eu une bonne note en Français aujourd'hui.,A1
Appelle un docteur!,A1
"Le soir, je regarde la télé jusqu'à 11 heures.",A1
Tu as vu mes soeurs,A1
Pourrais-tu me passer le sel ?,A1
"Par ici, les mariés.",A1
Vous avez une réduction ?,A1
"Je ne me couche pas trop tard, vers minuit",A1
"C'est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage",A1
Je travaille dans un hopital.,A1
Tu vois le château là-bas ?,A1
"Non, elle est fleuriste.",A1
Le héros meurt à la fin du film.,A1
Je vais donner des numéros !,A1
"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg et, le soir vous pouvez faire un tour en bateau jusqu'à la Tour Eiffel.",A1
Je suis photographe,A1
C'est scandaleux !,A1
Ma soeur habite également dans la même ville que nous.,A1
"Pendant que Simon s'est levé pour la ramasser, le chat s'est assis dans le fauteuil.",A1
"Tous les mardis, il va à l'entraînement de football.",A1
Nous n'achetons pas de vin,A1
Vous êtes une des copines de Zoé.,A1
"J'adore ma grand-mère, elle est très gentille",A1
Viens donc t'installer avec nous !,A1
Vous avez 10 minutes pour faire le test.,A1
Laura est la soeur de Julie.,A1
Il arrive bientôt.,A1
"Bonjour, je vous appelle au sujet de mon imprimante photo.",A1
Vous aimez ce film ?,A1
"Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",A1
"Pour aller à la salle internet à partir de l'escalier, marchez jusqu'à l'accueil",A1
Quelle est votre ville d'origine ?,A1
"Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau",A1
"En général, elle loue une maison à la campagne",A1
Merci beaucoup.,A1
Les journalistes sont prêts à tout !,A1
Je suis banquière.,A1
"| Je m'appelle Dioke, je suis malien, j'aime la peinture.",A1
Nous sommes en vacances.,A1
Je m'appelle Jean.,A1
Il habite en Italie avec sa femme et ses enfants.,A1
il y a plus de 50 pays francophones !,A1
Il est danois.,A1
Cette voiture ressemble à ma voiture.,A1
"Merci Marco, c'est très gentil !",A1
Vous faites de l'exercice physique,A1
Je voudrais poser une question.,A1
Nous écoutons de la musique.,A1
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants",A1
Je m'appelle Hugo et j'ai seize ans.,A1
Tu me manques beaucoup,A1
La vie en France est très différente de celle au Canada.,A1
Le chat a alors fait tomber la télécommande.,A1
La police cherche le voleur de mon vélo.,A1
"Quand j'étais petit, j'habitais à la campagne je voulais être écrivain",A1
Vous regardez la télévision.,A1
Je vais étudier l'anglais,A1
La longueur est une distance mais une sensation aussi.,A1
Où est la salle 33 ?,A1
"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus",A1
"Nous organisons une soirée le 31, à partir de 19 heures, vous viendrez, n'est-ce pas?",A1
Il fait froid en hiver.,A1
Ma mère est allemande et est avocate,A1
"Je vous rappelle vos rendez-vous de demain, mardi.",A1
L'école donne des cours de français.,A1
"Le matin, elle va au marché du village pour acheter des fruits et des légumes, et pour discuter avec ses voisins",A1
Il travaille à Rome,A1
J'habite à New-York. Et toi ?,A1
J'aime le ski.,A1
Je travaille dans une entreprise d'informatique.,A1
Vous allez bientôt avoir une grande surprise !,A1
Vous rentrez à quelle heure ?,A1
"Merci monsieur, au revoir.",A1
"J'achète un livre, un pantalon et une nouvelle lampe pour ma chambre.",A1
Je m'appelle Lucas.,A1
Vous aimez votre travail ?,A1
Mon père a eu une mutation pour venir travailler à Paris.,A1
Elle est née quel jour ?,A1
"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux",A1
j'aime beaucoup faire du parapente.,A1
Je m'appelle Jessica,A1
"Toi, tu peux apporter un jus de fruits.",A1
Vous êtes français,A1
Puis-je utiliser les toilettes?,A1
"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l'écorce des arbres.",A1
Il a un pantalon vert et une chemise blanche,A1
Ce pantalon est trop cher !,A1
Vous devez habiter dans le centre de Limoges ou avoir une voiture.,A1
Tu peux me prêter ton stylos s'il-te-plaît ?,A1
"Ensuite, je prends ma douche pour finir de me réveiller",A1
Nous vous souhaitons un bon voyage.,A1
Là-bas tout le monde parle anglais,A1
"J'ai 23 ans, je parle chinois, j'aime la lecture !",A1
Marie est mon amie.,A1
"Je suis contente, je vais voir Amélie",A1
"Aujourd'hui, avec mes parents et ma soeur nous partons en voyage.",A1
Ce spectacle est très amusant.,A1
Tu es toujours étudiant ?,A1
"Simon a mis le chat par terre, mais le chat est revenu sur le fauteuil.",A1
"Oui, vous voyagez en première ou en seconde ?",A1
Je mettrai la tasse sur la table.,A1
J'ai mangé une pomme.,A1
Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1
"Si Dieu le veut Bonjour, Anne!",A1
Il est 17h,A1
Le restaurant n'est pas loin du musée du Louvre,A1
Tu parles bien anglais.,A1
"Et, paradoxalement, boire froid n'est pas la bonne parade.",A1
Il pleut et j'attends l'autobus,A1
J'ai mangé un hamburger et des frites.,A1
Il a les cheveux blonds,A1
Je suis chez Camille,A1
Je te quitte pour aller travailler. Bonne visite.,A1
Je travaille comme serveur dans un petit restaurant,A1
Le rouge est une couleur vive.,A1
Tu es un vrai chef cuisinier,A1
"Moi, je suis musicien, je suis violoniste.",A1
"Coucou mes amis, je réunis tous ceux que j'aime bien pour fêter l'arrivée de l'été le 21 juin",A1
Vous avez rendez-vous chez le dentiste.,A1
Elle a acheté des vêtements : un beau pull chaud et et une belle robe,A1
Ils ont pris une pizza,A1
J'ai vu la tour Eiffel ?,A1
"Malheureusement, la batterie ne marche pas.",A1
Tu bois du vin.,A1
"Oui, comme entrée ?",A1
J'ai 20 ans.,A1
J'ai 25 ans.,A1
Je prends le train dimanche matin.,A1
J'ai réservé pour deux nuits.,A1
"Si vous êtes intéressé, appelez-moi.",A1
"Mais le weekend, nous nous levons tous les deux à neuf heures.",A1
"Ce soir, nous mangeons du poisson et des pommes de terre au dîner",A1
"Tous les ans, Jean passe ses vacances dans un grand hôtel du Sud de la France",A1
Cette année Virginie est partie une semaine dans un hôtel à Arcachon avec son mari,A1
Je vais prendre ma douche dans ma salle-de-bain.,A1
Je fais mon exposé devant toute la classe.,A1
Je t'envoie de gros bisous,A1
Pouvez-vous parler plus lentement ?,A1
"Ben, on est tous débordés quoi.",A1
Elle écrit une lettre.,A1
"Malheureusement, une semaine est vite passée et nous serons bientôt de retour à Paris.",A1
J'adore cette petite histoire.,A1
Qui propose un travail de serveur ?,A1
"Elle s'est baignée, elle s'est reposée, elle s'est amusée",A1
La connexion ne fonctionne plus.,A1
Folio est la gardienne de l'appartement.,A1
C'est le plat préféré de Manon.,A1
Il est midi et quize minutes.,A1
Vous parlez bien anglais.,A1
Nous vivons dans une jolie maison avec un grand jardin.,A1
"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter",A1
J'étais fier !,A1
Elle a 20 ans,A1
Elle a 21 ans,A1
Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande,A1
Elle fait ses courses.,A1
"S'il fait beau, l'après-midi vous pouvez aller au jardin du Luxembourg.",A1
Le second s'appelle Yann et il a neuf ans,A1
Ouais !,A1
Je m'appelle Henri.,A1
Séverine est arrivée après une annonce que ma fille a faite.,A1
Il est ingénieur dans une societé d'informatique.,A1
"Tous les dimanches, je vais faire mes courses au marché.",A1
Elle va souvent au cinéma,A1
Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.,A1
J'adore amuser les enfants.,A1
"Delphine, je t'attends au coin de la rue, devant la pharmacie",A1
J'habite à Paris.,A1
Le rouge est la couleure des tomates et des fraises.,A1
Il y a deux trains pour Lille le matin,A1
John et Delphine se rencontrent pour la première fois sur une plage en face d'une hôtel.,A1
Je te présente Marie.,A1
"On peut aussi aller au théâtre, dans les musées ou au cinéma",A1
Il me reste des croissants.,A1
Ils vont souvent à l'opéra,A1
Venez ici.,A1
Quel âge ont-ils ?,A1
Pourrais-tu m'accompagner,A1
Tu descends l'escalier et tu tournes à gauche.,A1
"Pendant les trois années d'études, je vivais déjà chez elle.",A1
Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1
Elle porte des lunettes.,A1
J'écoute des dialogues tous les jours.,A1
Le chat est arrivé dans le salon et il gratté le fauteuil avec ses griffes.,A1
"Le jour de la rentrée au collège, Pierre fait connaissance avec un nouvel élève de sa classe.",A1
Pouvez-vous m'aidez ?,A1
"Hier soir, j'ai travaillé jusqu'à minuit.",A1
Je profite aussi du petit déjeuner pour lire les infos en ligne,A1
Nous allons au restaurant.,A1
Où se trouve le supermarché?,A1
Je lis un livre très intéressant !,A1
Nous avons une voiture bleue.,A1
"Je suis très gourmande, et j'adore également l'automne à cause de ses fruits et légumes de saison",A1
Quelle est ta chanson préférée dans le spectacle ?,A1
"Il y a cinq chambres, une grande cuisine, un salon et deux salles de bains",A1
"Ce matin, Sarah est triste.",A1
J'habite à Rouen mais je travaille à Paris,A1
Je préfère un autre bijou.,A1
Il a les cheveux raides.,A1
Je viendrai dîner avec mon amie.,A1
